,date,open,close,high,low,volume,code
0,2001-08-27,-179.961,-179.776,-179.38,-180.256,406318.0,600519
1,2001-08-28,-179.876,-179.543,-179.518,-179.943,129647.79,600519
2,2001-08-29,-179.522,-179.629,-179.518,-179.678,53252.75,600519
3,2001-08-30,-179.646,-179.501,-179.428,-179.696,48013.06,600519
4,2001-08-31,-179.492,-179.517,-179.408,-179.554,23231.48,600519
5,2001-09-03,-179.483,-179.52,-179.417,-179.545,22112.09,600519
6,2001-09-04,-179.517,-179.437,-179.326,-179.54,37006.77,600519
7,2001-09-05,-179.41,-179.44,-179.355,-179.481,26066.95,600519
8,2001-09-06,-179.456,-179.572,-179.435,-179.605,28997.03,600519
9,2001-09-07,-179.607,-179.753,-179.527,-179.758,31552.25,600519
10,2001-09-10,-179.803,-179.572,-179.545,-179.872,18878.89,600519
11,2001-09-11,-179.554,-179.645,-179.527,-179.661,11390.81,600519
12,2001-09-12,-179.815,-179.7,-179.661,-179.82,25045.19,600519
13,2001-09-13,-179.694,-179.716,-179.643,-179.749,10986.68,600519
14,2001-09-14,-179.694,-179.643,-179.607,-179.732,7672.83,600519
15,2001-09-17,-179.682,-179.724,-179.645,-179.785,8983.97,600519
16,2001-09-18,-179.717,-179.652,-179.598,-179.723,10773.26,600519
17,2001-09-19,-179.643,-179.533,-179.533,-179.685,8650.53,600519
18,2001-09-20,-179.536,-179.588,-179.509,-179.607,11173.35,600519
19,2001-09-21,-179.646,-179.685,-179.589,-179.696,7879.72,600519
20,2001-09-24,-179.685,-179.687,-179.627,-179.696,4068.6,600519
21,2001-09-25,-179.646,-179.655,-179.6,-179.687,3488.45,600519
22,2001-09-26,-179.677,-179.682,-179.611,-179.696,4956.26,600519
23,2001-09-27,-179.682,-179.572,-179.522,-179.696,8778.04,600519
24,2001-09-28,-179.536,-179.502,-179.483,-179.607,17088.47,600519
25,2001-10-08,-179.518,-179.593,-179.486,-179.652,6552.17,600519
26,2001-10-09,-179.589,-179.465,-179.43,-179.589,9558.52,600519
27,2001-10-10,-179.465,-179.678,-179.442,-179.691,17548.69,600519
28,2001-10-11,-179.694,-179.74,-179.607,-179.758,12306.84,600519
29,2001-10-12,-179.714,-179.696,-179.581,-180.043,20010.7,600519
30,2001-10-15,-179.714,-179.82,-179.696,-179.892,9755.31,600519
31,2001-10-16,-179.851,-179.909,-179.732,-179.918,8319.91,600519
32,2001-10-17,-179.911,-180.016,-179.908,-180.069,12507.68,600519
33,2001-10-18,-180.016,-180.044,-179.934,-180.067,4983.46,600519
34,2001-10-19,-180.051,-180.14,-180.025,-180.227,15687.54,600519
35,2001-10-22,-180.176,-180.266,-180.105,-180.282,9760.65,600519
36,2001-10-23,-179.696,-179.684,-179.684,-179.872,40598.24,600519
37,2001-10-24,-179.557,-179.721,-179.554,-179.854,40682.39,600519
38,2001-10-25,-179.749,-179.895,-179.732,-179.899,16036.86,600519
39,2001-10-26,-179.927,-179.874,-179.856,-179.977,9002.2,600519
40,2001-10-29,-179.895,-179.82,-179.762,-179.895,4587.86,600519
41,2001-10-30,-179.829,-179.874,-179.787,-179.888,3484.17,600519
42,2001-10-31,-179.874,-179.865,-179.858,-179.909,4762.47,600519
43,2001-11-01,-179.865,-179.772,-179.76,-179.883,6643.03,600519
44,2001-11-02,-179.824,-179.81,-179.746,-179.845,3435.2,600519
45,2001-11-05,-179.874,-179.892,-179.828,-179.927,3690.76,600519
46,2001-11-06,-179.909,-179.847,-179.82,-179.924,2609.31,600519
47,2001-11-07,-179.874,-180.078,-179.874,-180.087,9325.38,600519
48,2001-11-08,-180.167,-180.105,-180.071,-180.233,7402.16,600519
49,2001-11-09,-180.105,-180.025,-179.966,-180.169,3760.76,600519
50,2001-11-12,-179.98,-180.123,-179.98,-180.137,2683.33,600519
51,2001-11-13,-180.179,-180.115,-180.105,-180.192,2673.81,600519
52,2001-11-14,-180.115,-180.114,-180.051,-180.115,769.0,600519
53,2001-11-15,-180.114,-180.108,-180.087,-180.14,2193.45,600519
54,2001-11-16,-179.661,-180.035,-179.661,-180.053,9954.7,600519
55,2001-11-19,-180.025,-179.865,-179.86,-180.034,3734.61,600519
56,2001-11-20,-179.838,-179.806,-179.78,-179.892,8069.08,600519
57,2001-11-21,-179.788,-179.842,-179.785,-179.892,5114.42,600519
58,2001-11-22,-179.835,-179.852,-179.82,-179.89,4198.79,600519
59,2001-11-23,-179.872,-179.877,-179.829,-179.913,3960.9,600519
60,2001-11-26,-179.874,-179.943,-179.874,-179.963,3100.99,600519
61,2001-11-27,-179.948,-179.874,-179.861,-179.948,2569.48,600519
62,2001-11-28,-179.865,-179.865,-179.804,-179.892,3773.62,600519
